大考中心字彙表 LEVEL 1 (整理後，無KK音標)

a/an art. 一
able adj. 能，可以
about prep. 關於
above adv., prep. 在…上面
according to 根據
across prep. 穿過
act vt. 扮演
action n. 行動
actor/actress n. 男演員/女演員
add vt. 添加
address n. 地址
adult n. 成人
afraid adj. 害怕
after prep. 在…以後
afternoon n. 午後
again adv. 再
against prep. 反對
age n. 年齡
ago adv. 在…之前
agree(ment) vi. 同意
ahead adv. 在前
air n. 空氣
airmail n. 航空郵政
airplane/plane n. 飛機
airport n. 機場
all adj. 一切的
allow vt. 允許
almost adv. 幾乎
alone adj. adv. 單獨的
along prep. 沿著
already adv. 已經
also adv. 也
always adv. 總是
am (第一人稱) vi. 是
among prep. 在…之中
and conj. 和
anger n. 憤怒
angry adj. 生氣的
animal n. 動物
another adj. 另外的
answer n. / vt. 回答
ant n. 螞蟻
any adj. 任何的
anything n. 任何東西
ape n. 大猩猩
appear vi. 出現
apple n. 蘋果
April/Apr. n. 四月
are (第二人稱) vi. 是
area n. 面積
arm n. 手臂
army n. 軍隊
around adv. / prep. 到處
art n. 藝術
as adv., prep. conj. 當作、如同
ask vt. 詢問
at prep. 在…地點
August/Aug. n. 八月
aunt/auntie/aunty n. 伯母
autumn/fall n. 秋天
away adv. 隔開
baby n. 嬰兒
back n. 背部
bad adj. 壞的
bag n. 袋子
ball n. 球
balloon n. 氣球
banana n. 香蕉
band n. 綁帶
bank n. (1)銀行 (2) 河堤
bar n. 棒；酒吧
barber n. 理髮師
base n. 基底
baseball n. 棒球
basic adj. 基礎的
basket n. 籃子
basketball n. 籃球
bat n. (1)球棒 (2)蝙蝠
bath n. 沐浴；浴缸
bathe vt. 浸洗
bathroom n. 浴室
be vi. 是
beach n. 海灘
bear n. (1) 熊
beat vt. 打、擊
beautiful adj. 美麗的
beauty n. 美麗
because conj. 因為
become vi. 成為
bed n. 床
bee n. 蜜蜂
before prep. 在…之前
begin vt. 開始
behind prep. 在…後面
believe vt. 相信
bell n. 鈴
belong vi. 屬於
below prep. 在…下面
beside prep. 在旁邊
best adj. 最好的
better adj. 較好的
between prep. 在…之間
bicycle/bike n. 腳踏車
big adj. 大的
bird n. 鳥
birth n. 出生
bit n. 一點
bite vt. 咬
black adj. 黑色的
block n. 街區
blood n. 血
blow vt. 吹
blue adj. 藍色的
boat n. 小船
body n. 身體
bone n. 骨頭
book n. 書 (2) vt.預定
born adj. 出生的
both adj./adv. 兩者都
bottom n. 底部
bowl n. 碗
box n. 箱子
boy n. 男孩
brave adj. 勇敢的
bread n. 麵包
break vt. 打破
breakfast n. 早餐
bridge n. 橋
bright adj. 明亮的
bring vt. 帶來
brother n. 兄弟
brown adj. 褐色
bug n. 蟲子
build vt. 建造
building n. 建築物
bus n. 巴士
busy adj. 忙碌的
but conj. 但是
butter n. 奶油
butterfly n. 蝴蝶
buy vt. 買
by prep. 透過；在…旁邊
cage n. 獸籠
cake n. 蛋糕
call vt. 呼叫
camel n. 駱駝
camera n. 照相機
camp n. 營地
can aux. 可以 (2) n.罐頭
candy/sweet n. 糖果
cap n. 棒球帽
car n. 汽車
card n. 紙牌
care vi. 關心
careful adj. 小心的
carry 用手)提、搬、扛
case n. (1)箱子 (2)案件
cat n. 貓
catch vt. 接住、抓住
cause n. 原因
cent n. 分(美元)
center n. 中心
certain adj. 確切的
chair n. 椅子
chance n. 機會
chart n. 圖表
chase vt. 追捕
check vt. 檢查
chick n. 小雞
chicken n. 雞
chief n. 領袖
child n. 小孩
Christmas/Xmas n. 聖誕節
church n. 教堂
city n. 城市
class n. 班級、等級
clean adj. 乾淨的
clear adj. 清晰的
climb vi. /vt. 爬
clock n. 時鐘
close adj. 接近的 (2) vt. 關
cloud n. 雲
coast n. 海岸
coat n. 大衣
cocoa n. 可可豆
coffee n. 咖啡
cola/Coke n. 可樂
cold adj. 冷的
color n. 顏色
come vi. 來
common adj. 普通的
continue vi. 繼續
cook vt. 煮
cookie/cooky n. 餅乾
cool adj. 酷的
corn n. 玉米
correct adj. 正確的
cost vi. n. 花費
count vt. 計算
country n. 國家
course n. 路線
cover vt. 覆蓋
cow n. 母牛
cowboy n. 牛仔
crow n. (1) 烏鴉；啼叫聲
cry vi. 哭
cub n. 幼獸
cup n. 杯子
cut vt. 切、剪
cute adj. 可愛的
daddy/dad/papa/pa/pop / / / n. 爸爸
dance vi. 跳舞
dancer n. 舞蹈家
danger n. 危險
dark adj. 黑暗的
date n. 日期
daughter n. 女兒
day n. 一天
dead adj. 死的
deal vi. 處理
dear adj. 親愛的
death n. 死亡
December/Dec. n. 十二月
decide vt. 決定
deep adj. 深的
deer n. 鹿
desk n. 桌子
die vi. 死
different adj. 不同的
difficult adj. 困難的
dig vt. 挖
dinner n. 晚餐
direct vt. 指揮
dirty adj. 髒的
discover vt. 發現
dish n. 碟
do vt. 做
doctor/doc n. 醫生
dog n. 狗
doll n. 玩偶
dollar/buck n. 元
door n. 門
dove n. 鴿子
down adv. 向下
downstairs adj. adv.樓下的
dozen n. 一打
draw vt. 畫
dream n. 夢
drink vt. 喝
drive vt. 開車
driver n. 司機
dry adj. 乾的
duck n. 鴨子
duckling n. 小鴨
during prep. 在…期間
each adj. 每個
eagle n. 老鷹
ear n. 耳朵
early adj. 早的
earth n. 地球
ease n. 容易
east n. 東
easy adj. 容易的
eat vt. 吃
edge n. 邊緣
egg n. 蛋
eight n. 八
eighteen n. 十八
eighty n. 八十
either adj. 任一的 (2) adv.也
elephant n. 大象
eleven n. 十一
else adv. 其他
end n. 最後
English n. 英文、英國的
enough adj. adv. 足夠的
enter vt. 進入
equal adj. 相等的
even adv. 甚至 (2) adj.偶數的
evening n. 傍晚
ever adv. 從來
every adj. 每個
examination/exam n. 考試
examine vt. 檢查
example n. 例子
except prep. 除了…之外
eye n. 眼睛
face n. 臉
fact n. 事實
factory n. 工廠
fall vi. 落下
false adj. 錯誤的
family n. 家庭
fan n. (1)扇子
far adj. adv. 遠的
farm n. 農場
farmer n. 農夫
fast adj. adv. 快的
fat adj. 肥胖的
father n. 父親
fear n. 恐懼
February/Feb. n. 二月
feed vt. 餵食
feel n. vt. 觸摸；感覺
feeling n. 感覺；看法
feelings n. 感情；心情
few adj. 很少的
fifteen n. 十五
fifty n. 五十
fight vi. 打架
fill vt. 填滿
final adj. 最後的
find vt. 尋找
fine adj.美好的；健康的 n. 罰金 v. 使純；處以罰金
finger n. 手指
finish vt. 完成
fire n.火 vi., vt. 開火 (2) vt.開除
first adj. 第一的
fish n. 魚
five n. 五
floor n. 地板
flower n. 花
fly n. 蒼蠅 (2) vi.飛
fog n. 霧
follow vt. 跟隨
food n. 食物
foot n. 腳
for prep. 為了
force n. 力量
foreign adj. 外國的
forest n. 森林
forget vt. 忘記
fork n. 叉子
forty n. 四十
four n. 四
fourteen n. 十四
free adj. 自由的
fresh adj. 新鮮的
Friday/Fri. n. 星期五
friend n. 朋友
frog n. 青蛙
from prep. 從
front n. 前面
fruit n. 水果
full adj. 滿的
fun n. 樂趣
funny adj. 有趣的
game n. 遊戲
garden n. 花園
gas n. 汽油
general adj. 一般的
get vt. 獲得
ghost n. 幽靈
gift n. 禮物
girl n. 女孩
give vt. 給
glad adj. 高興的
glass n. 玻璃
glasses n. 眼鏡
go vi. 去
god/goddess n. 神/女神
gold n. 黃金
good adj. 好的
good-bye/goodbye/bye-bye/bye n. 再見
goose n. 鵝
grand adj. 雄偉的
grandchild n. 孫子女
granddaughter n 孫女
grandfather/grandpa / n 爺爺
grandmother/grandma n. 奶奶
grandson n. 孫子
grass n. 草
gray/grey adj. 灰色的
great adj. 極好的
green adj. 綠色的
